Date,Open,High,Low,Close,Adj Close,Volume
1977-07-29,4.321544647,4.384357929,4.296419621,4.346670151,2.05189085,143200
1977-08-01,4.346670151,4.371795177,4.334107399,4.346670151,2.05189085,290500
1977-08-02,4.346670151,4.346670151,4.271294117,4.296419621,2.028170109,226800
1977-08-03,4.296419621,4.422045708,4.296419621,4.371795177,2.063752413,355200
1977-08-04,4.371795177,4.522546768,4.371795177,4.522546768,2.134916544,219800
1977-08-05,4.522546768,4.53510952,4.396920681,4.396920681,2.075612545,141200
1977-08-08,4.396920681,4.409483433,4.308982372,4.334107399,2.045960903,158100
1977-08-09,4.334107399,4.359232903,4.296419621,4.321544647,2.040031433,173100
1977-08-10,4.321544647,4.409483433,4.296419621,4.409483433,2.081543207,482500
1977-08-11,4.409483433,4.459733486,4.396920681,4.409483433,2.081543207,471600
1977-08-12,4.409483433,4.497421741,4.396920681,4.472296238,2.111195326,257600
1977-08-15,4.472296238,4.673298359,4.472296238,4.648173332,2.194219589,617800
1977-08-16,4.623047829,4.623047829,4.560234547,4.623047829,2.182358027,475500
1977-08-17,4.623047829,4.685861111,4.597922802,4.63561058,2.188289404,444700
1977-08-18,4.63561058,4.673298359,4.610485077,4.610485077,2.176427126,334300
1977-08-19,4.610485077,4.673298359,4.58536005,4.610485077,2.176427126,386000
1977-08-22,4.610485077,4.748674393,4.610485077,4.673298359,2.20607996,947200
1977-08-23,4.673298359,4.748674393,4.63561058,4.63561058,2.188289404,367100
1977-08-24,4.63561058,4.63561058,4.522546768,4.522546768,2.134916544,792000
1977-08-25,4.522546768,4.522546768,4.371795177,4.497421741,2.123054743,825800
1977-08-26,4.497421741,4.522546768,4.447171211,4.522546768,2.134916544,209900
1977-08-29,4.522546768,4.560234547,4.48485899,4.522546768,2.134916544,125300
1977-08-30,4.522546768,4.522546768,4.422045708,4.422045708,2.087474346,136300
1977-08-31,4.422045708,4.447171211,4.384357929,4.447171211,2.099333525,93500
1977-09-01,4.447171211,4.48485899,4.434608459,4.434608459,2.093403578,482500
1977-09-02,4.422045708,4.422045708,4.384357929,4.396920681,2.075612545,613900
1977-09-06,4.384357929,4.384357929,4.271294117,4.334107399,2.045960903,291500
1977-09-07,4.334107399,4.371795177,4.334107399,4.334107399,2.045960903,253700
1977-09-08,4.334107399,4.359232903,4.308982372,4.308982372,2.034101248,274600
1977-09-09,4.308982372,4.321544647,4.24616909,4.258731842,2.010379076,172100
1977-09-12,4.258731842,4.258731842,4.221043587,4.24616909,2.004448414,90500
1977-09-13,4.24616909,4.308982372,4.24616909,4.308982372,2.034101248,145200
1977-09-14,4.346670151,4.434608459,4.346670151,4.434608459,2.093403578,45700
1977-09-15,4.48485899,4.547672272,4.48485899,4.522546768,2.134916544,572100
1977-09-16,4.509984016,4.509984016,4.459733486,4.459733486,2.105264425,128300
1977-09-19,4.422045708,4.422045708,4.371795177,4.396920681,2.075612545,111400
1977-09-20,4.396920681,4.459733486,4.396920681,4.422045708,2.097544909,154200
1977-09-21,4.447171211,4.547672272,4.447171211,4.459733486,2.115420103,136300
1977-09-22,4.459733486,4.497421741,4.434608459,4.497421741,2.133297205,136300
1977-09-23,4.497421741,4.547672272,4.472296238,4.497421741,2.133297205,387000
1977-09-26,4.497421741,4.572797298,4.422045708,4.572797298,2.169053316,232800
1977-09-27,4.572797298,4.610485077,4.560234547,4.597922802,2.180969238,241700
1977-09-28,4.597922802,4.660735607,4.572797298,4.58536005,2.175010681,365100
1977-09-29,4.58536005,4.63561058,4.58536005,4.597922802,2.180969238,592000
1977-09-30,4.597922802,4.623047829,4.560234547,4.560234547,2.163092375,323300
1977-10-03,4.560234547,4.58536005,4.472296238,4.497421741,2.133297205,224800
1977-10-04,4.497421741,4.522546768,4.447171211,4.472296238,2.121380329,841700
1977-10-05,4.447171211,4.447171211,4.409483433,4.422045708,2.097544909,426800
1977-10-06,4.422045708,4.447171211,4.359232903,4.396920681,2.085625887,270600
1977-10-07,4.396920681,4.422045708,4.384357929,4.422045708,2.097544909,106400
1977-10-10,4.422045708,4.422045708,4.384357929,4.409483433,2.091584682,44700
1977-10-11,4.409483433,4.409483433,4.334107399,4.346670151,2.061789989,84500
1977-10-12,4.321544647,4.321544647,4.271294117,4.308982372,2.043914318,108400
1977-10-13,4.308982372,4.371795177,4.283856869,4.321544647,2.049873114,135300
1977-10-14,4.321544647,4.334107399,4.271294117,4.296419621,2.037954807,118300
1977-10-17,4.308982372,4.334107399,4.308982372,4.321544647,2.049873114,194000
1977-10-18,4.19591856,4.19591856,4.020041466,4.032604218,1.912817478,458700
1977-10-19,4.032604218,4.045166969,3.856727362,3.906977892,1.853227019,819800
1977-10-20,3.906977892,3.919540644,3.793914318,3.906977892,1.853227019,635700
1977-10-21,3.919540644,3.944665909,3.919540644,3.932103157,1.865145564,164100
1977-10-24,3.932103157,3.932103157,3.844164848,3.856727362,1.829391003,1101400
1977-10-25,3.819039583,3.819039583,3.630600214,3.705976009,1.757886171,1019800
1977-10-26,3.705976009,3.768789053,3.643162727,3.693413258,1.751926303,1042700
1977-10-27,3.693413258,3.743663788,3.693413258,3.705976009,1.757886171,991000
1977-10-28,3.705976009,3.781351805,3.705976009,3.731101274,1.769802213,267600
1977-10-31,3.731101274,3.75622654,3.705976009,3.75622654,1.781721115,171100
1977-11-01,3.743663788,3.743663788,3.718538523,3.731101274,1.769802213,161100
1977-11-02,3.731101274,3.819039583,3.718538523,3.768789053,1.787679076,243700
1977-11-03,3.768789053,3.793914318,3.75622654,3.781351805,1.793638229,142200
1977-11-04,3.844164848,3.881852627,3.844164848,3.881852627,1.841309309,243700
1977-11-07,3.881852627,3.919540644,3.831602097,3.831602097,1.817473531,1081500
1977-11-08,3.819039583,3.819039583,3.768789053,3.793914318,1.79959631,95500
1977-11-09,3.793914318,3.80647707,3.743663788,3.80647707,1.805556655,290500
1977-11-10,3.80647707,3.869290113,3.793914318,3.869290113,1.83535099,1198900
1977-11-11,3.881852627,3.969791174,3.881852627,3.944665909,1.871104836,2598900
1977-11-14,3.944665909,3.969791174,3.894415379,3.906977892,1.853227019,341200
1977-11-15,3.906977892,3.982353687,3.894415379,3.969791174,1.88302362,473600
1977-11-16,3.957228422,3.957228422,3.844164848,3.844164848,1.823431849,627800
1977-11-17,3.844164848,3.856727362,3.793914318,3.831602097,1.817473531,199900
1977-11-18,3.831602097,3.856727362,3.819039583,3.819039583,1.811515808,136300
1977-11-21,3.819039583,3.819039583,3.743663788,3.793914318,1.79959631,420800
